data;20-29;30-39;40-49;50-59;60-69;70-79;80+;20-49;70+;BR
15/01/2021;1;4;0;1;1;0;1;5;1;8
16/01/2021;0;2;1;0;0;0;0;3;0;3
17/01/2021;18;34;26;20;22;10;13;78;23;143
18/01/2021;28;36;36;22;15;6;4;100;10;147
19/01/2021;40;60;41;30;45;35;14;141;49;265
20/01/2021;87;163;117;75;107;107;42;367;149;698
21/01/2021;126;199;170;68;79;100;24;495;124;766
22/01/2021;170;290;225;147;132;136;104;685;240;1204
23/01/2021;49;82;60;22;28;30;15;191;45;286
24/01/2021;23;25;30;27;46;48;38;78;86;237
25/01/2021;71;120;86;52;37;15;16;277;31;397
26/01/2021;89;161;127;98;60;26;36;377;62;597
27/01/2021;54;117;99;58;74;33;39;270;72;474
28/01/2021;102;151;154;92;62;30;47;407;77;638
29/01/2021;64;90;98;59;66;21;31;252;52;429
30/01/2021;24;21;21;12;20;11;26;66;37;135
31/01/2021;16;11;19;10;2;10;6;46;16;74
01/02/2021;105;180;156;125;61;18;123;441;141;768
02/02/2021;611;933;658;399;169;138;292;2202;430;3200
03/02/2021;1680;3112;2479;1420;621;370;549;7271;919;10231
04/02/2021;4278;7151;5530;3216;1270;817;1033;16959;1850;23295
05/02/2021;4498;7500;5716;3293;1417;1042;1306;17714;2348;24772
06/02/2021;604;873;773;436;214;156;237;2250;393;3293
07/02/2021;235;270;220;132;59;77;96;725;173;1089
08/02/2021;6059;10209;8246;4936;2056;1752;2137;24514;3889;35395
09/02/2021;8220;13772;11835;6948;2635;1574;2035;33827;3609;47019
10/02/2021;15709;26743;22410;13430;5318;2643;3273;64862;5916;89526
11/02/2021;26094;45728;38956;23133;9018;3814;4675;110778;8489;151418
12/02/2021;30488;52966;45361;26468;10856;4820;6478;128815;11298;177437
13/02/2021;6349;10246;8692;4931;2527;1290;1633;25287;2923;35668
14/02/2021;3398;6078;4855;3111;1273;376;223;14331;599;19314
15/02/2021;25303;42472;36845;21981;9022;4217;5291;104620;9508;145131
16/02/2021;29740;50923;44165;27035;11880;6226;10242;124828;16468;180211
17/02/2021;38911;68841;57516;33629;14024;7091;9002;165268;16093;229014
18/02/2021;47945;81965;69105;41187;16444;7968;10566;199015;18534;275180
19/02/2021;36882;60615;50811;29598;12136;6306;9481;148308;15787;205829
20/02/2021;5542;8401;7371;4453;2613;1729;2795;21314;4524;32904
21/02/2021;1932;2488;2171;1269;553;259;226;6591;485;8898
22/02/2021;26981;43900;38565;24226;10107;4513;7086;109446;11599;155378
23/02/2021;23025;37907;33111;20013;8143;3125;6793;94043;9918;132117
24/02/2021;20691;32130;27898;17017;6834;2864;9715;80719;12579;117149
25/02/2021;18013;27584;24305;15017;6565;2865;12919;69902;15784;107268
26/02/2021;17442;25834;22899;14796;6580;2940;28274;66175;31214;118765
27/02/2021;3908;6119;5529;3352;1814;1194;11679;15556;12873;33595
28/02/2021;1196;1817;1421;803;475;271;4853;4434;5124;10836
01/03/2021;14522;21885;19745;13330;7382;4210;45633;56152;49843;126707
02/03/2021;21787;29598;24910;15715;15714;7686;54511;76295;62197;169921
03/03/2021;21748;29553;24306;15707;11865;7211;56947;75607;64158;167337
04/03/2021;19770;25825;20582;13137;9542;5388;69097;66177;74485;163341
05/03/2021;18141;23804;19124;12261;8491;6715;102669;61069;109384;191205
06/03/2021;6102;7375;5645;3497;2466;3131;41750;19122;44881;69966
07/03/2021;645;802;604;418;407;798;10259;2051;11057;13933
08/03/2021;10763;13912;11516;8079;6238;6750;102212;36191;108962;159470
09/03/2021;10807;14503;11799;7648;6302;8277;114665;37109;122942;174001
10/03/2021;11217;14863;12580;8287;6475;9356;122420;38660;131776;185198
11/03/2021;11178;14512;12135;7969;6093;7955;128387;37825;136342;188229
12/03/2021;10160;12782;11194;7253;5698;7295;111692;34136;118987;166074
13/03/2021;1643;1920;1732;1110;1135;1569;28850;5295;30419;37959
14/03/2021;397;439;355;257;307;623;4320;1191;4943;6698
15/03/2021;7409;9600;7774;5090;4351;7605;72218;24783;79823;114047
16/03/2021;6751;8784;7140;4573;3766;6001;64492;22675;70493;101507
17/03/2021;7003;8960;7375;4888;4170;5631;47613;23338;53244;85640
18/03/2021;6439;8617;7067;4744;3934;6650;43930;22123;50580;81381
19/03/2021;5833;7521;6247;4200;3839;7453;38180;19601;45633;73273
20/03/2021;1205;1397;1200;753;845;3229;13216;3802;16445;21845
21/03/2021;619;619;522;306;333;1343;2425;1760;3768;6167
22/03/2021;5046;6859;5731;4557;3359;8833;43749;17636;52582;78134
23/03/2021;6266;7857;6246;4937;3881;17671;52283;20369;69954;99141
24/03/2021;5736;6807;5524;4392;4610;69738;50360;18067;120098;147167
25/03/2021;4895;6398;5466;4381;7337;49968;72454;16759;122422;150899
26/03/2021;4897;6238;5107;4167;5269;45104;62021;16242;107125;132803
27/03/2021;1265;1628;1248;1036;1481;21804;19159;4141;40963;47621
28/03/2021;489;587;429;476;456;8902;4230;1505;13132;15569
29/03/2021;5213;6511;5515;4062;5833;76094;53906;17239;130000;157134
30/03/2021;6102;7260;5747;4022;5759;80206;56833;19109;137039;165929
31/03/2021;5355;6612;5441;3953;6458;114701;56710;17408;171411;199230
01/04/2021;3880;4696;3815;3058;8042;91976;34140;12391;126116;149607
02/04/2021;843;1034;799;987;1551;17094;4798;2676;21892;27106
03/04/2021;1091;1393;1199;1244;2204;38499;11138;3683;49637;56768
04/04/2021;535;750;591;685;791;12298;2272;1876;14570;17922
05/04/2021;8648;9917;7709;5619;12435;256197;70601;26274;326798;371126
06/04/2021;7722;8412;6636;4909;11544;187652;56143;22770;243795;283018
07/04/2021;7620;8346;6550;6229;14163;185811;47981;22516;233792;276700
08/04/2021;8819;8876;7018;5498;15088;216755;40241;24713;256996;302295
09/04/2021;8936;10374;8875;6117;19353;396939;39895;28185;436834;490489
10/04/2021;3024;3681;2942;2270;12877;157537;12467;9647;170004;194798
11/04/2021;1243;1418;1064;1085;2494;30763;1261;3725;32024;39328
12/04/2021;9004;10866;8808;6482;30416;331978;31771;28678;363749;429325
13/04/2021;9722;11874;9509;6964;37774;303660;30642;31105;334302;410145
14/04/2021;10438;12755;10484;7110;48626;304548;26696;33677;331244;420657
15/04/2021;11239;13532;10855;7409;72909;385757;25217;35626;410974;526918
16/04/2021;13363;17123;13913;8977;124842;498480;21320;44399;519800;698018
17/04/2021;4175;5484;4559;3389;47872;215960;7053;14218;223013;288492
18/04/2021;1497;1780;1403;994;10703;29279;1058;4680;30337;46714
19/04/2021;13092;17663;15418;11640;141683;475393;22131;46173;497524;697020
20/04/2021;18014;25104;22569;15239;190566;503090;24319;65687;527409;798901
21/04/2021;5963;9356;9111;6329;76108;159706;7904;24430;167610;274477
22/04/2021;24973;36048;32486;29833;231523;436369;30407;93507;466776;821639
23/04/2021;22588;33282;28774;19182;218263;331335;20775;84644;352110;674199
24/04/2021;6983;9707;8239;6591;128066;151600;10078;24929;161678;321264
25/04/2021;1812;2430;1919;1095;46791;27280;3237;6161;30517;84564
26/04/2021;23545;34673;31103;23041;301463;258299;21117;89321;279416;693241
27/04/2021;25672;39021;34201;26733;280442;213602;24932;98894;238534;644603
28/04/2021;25721;37186;33031;26457;276007;134379;28857;95938;163236;561638
29/04/2021;22813;33201;29602;24713;236478;83709;24366;85616;108075;454882
30/04/2021;18498;26650;25463;19143;176570;50470;21542;70611;72012;338336
01/05/2021;3552;5220;10155;15630;52571;17261;10612;18927;27873;115001
02/05/2021;1024;1376;1512;987;16405;1977;2423;3912;4400;25704
03/05/2021;21826;37504;41775;37736;167692;43429;36940;101105;80369;386902
04/05/2021;19015;30630;37228;36510;144844;38326;31204;86873;69530;337757
05/05/2021;18077;27295;33123;36820;125464;36149;27180;78495;63329;304108
06/05/2021;12411;19262;22392;26590;80431;25040;16647;54065;41687;202773
07/05/2021;11850;16954;21497;28002;74797;20778;16074;50301;36852;189952
08/05/2021;2849;3179;7703;15422;73946;13118;5732;13731;18850;121949
09/05/2021;258;370;707;1013;7738;2198;700;1335;2898;12984
10/05/2021;12701;17118;23238;36542;109521;28702;19322;53057;48024;247144
11/05/2021;10896;16118;21387;27748;132879;36180;15396;48401;51576;260604
12/05/2021;8444;11687;13582;17399;85127;31557;15647;33713;47204;183443
13/05/2021;6409;9188;10990;12543;87593;23373;12272;26587;35645;162368
14/05/2021;9137;11762;12176;15842;131712;24546;11910;33075;36456;217085
15/05/2021;4718;5917;7334;9030;148098;22006;8894;17969;30900;205997
16/05/2021;1565;1877;1836;3623;66198;5051;5878;5278;10929;86028
17/05/2021;7152;11056;10887;11904;146917;29856;22344;29095;52200;240116
18/05/2021;7878;11448;12308;12513;171366;34349;16073;31634;50422;265935
19/05/2021;6920;9684;9607;9987;174272;32670;17365;26211;50035;260505
20/05/2021;8914;11497;10905;9785;228961;34408;20635;31316;55043;325105
21/05/2021;7236;9660;15073;9463;180573;29144;48434;31969;77578;299583
22/05/2021;3590;5836;4036;3347;74340;12314;52394;13462;64708;155857
23/05/2021;419;524;395;315;11440;3584;5067;1338;8651;21744
24/05/2021;7584;10295;8821;8899;90333;33999;116013;26700;150012;275944
25/05/2021;8602;10916;11939;8784;71957;33003;90497;31457;123500;235698
26/05/2021;6643;8279;7750;8044;54753;45978;90179;22672;136157;221626
27/05/2021;6177;7627;7020;10238;44352;36247;85771;20824;122018;197432
28/05/2021;4873;6302;7676;8162;36024;25373;67709;18851;93082;156119
29/05/2021;1649;2064;2137;2074;10611;7727;30354;5850;38081;56616
30/05/2021;181;203;193;217;1308;1526;2486;577;4012;6114
31/05/2021;3950;5479;5656;5928;27526;22311;61339;15085;83650;132189
01/06/2021;6075;8935;9223;9881;35671;28749;106683;24233;135432;205217
02/06/2021;5997;8599;7789;8129;28499;33083;104512;22385;137595;196608
03/06/2021;1738;2418;3069;3265;12123;14658;20305;7225;34963;57576
04/06/2021;2816;3985;3938;4015;16746;19936;41036;10739;60972;92472
05/06/2021;1441;1972;2120;2497;12436;8582;12780;5533;21362;41828
06/06/2021;170;202;253;218;1230;1199;1348;625;2547;4620
07/06/2021;5012;6691;6115;7256;19854;23330;61253;17818;84583;129511
08/06/2021;5266;6654;5965;6716;17597;19990;42638;17885;62628;104826
09/06/2021;5236;6640;5751;5777;14969;14236;31711;17627;45947;84320
10/06/2021;4249;5587;4794;5404;16774;14355;25398;14630;39753;76561
11/06/2021;4702;7030;5663;5522;14600;12025;18432;17395;30457;67974
12/06/2021;1255;1614;1894;1927;4718;2673;3706;4763;6379;17787
13/06/2021;425;414;346;356;1272;734;277;1185;1011;3824
14/06/2021;3838;5972;5333;6793;25100;14998;13439;15143;28437;75473
15/06/2021;5645;7624;7512;8039;27888;18034;10812;20781;28846;85554
16/06/2021;6192;9166;8178;9409;47480;17914;8970;23536;26884;107309
17/06/2021;7940;10201;8960;8606;31445;17116;7315;27101;24431;91583
18/06/2021;7048;9075;8389;8287;29333;15148;5798;24512;20946;83078
19/06/2021;5171;5644;4804;4563;66787;9395;1840;15619;11235;98204
20/06/2021;749;715;932;705;15132;1409;781;2396;2190;20423
21/06/2021;7236;10455;10014;10016;75406;18581;4883;27705;23464;136591
22/06/2021;9913;12986;14367;13604;90146;24475;5561;37266;30036;171052
23/06/2021;10917;14417;14318;13953;64550;16917;4990;39652;21907;140062
24/06/2021;8458;9616;8925;11087;47853;9699;3133;26999;12832;98771
25/06/2021;11902;16751;57112;33337;44029;12400;3046;85765;15446;178577
26/06/2021;9705;28421;83959;39066;39714;5609;1115;122085;6724;207589
27/06/2021;3140;8752;22818;7820;4005;782;148;34710;930;47465
28/06/2021;25136;53534;208125;65435;79643;16423;3441;286795;19864;451737
29/06/2021;25831;49997;141066;52217;83623;15280;3181;216894;18461;371195
30/06/2021;25105;50418;121690;62099;93748;16018;3456;197213;19474;372534
01/07/2021;25577;44048;82283;40816;75697;11030;2870;151908;13900;282321
02/07/2021;26910;52684;75619;38363;94792;6943;2292;155213;9235;297603
03/07/2021;28960;24213;41595;17500;60857;4475;936;94768;5411;178536
04/07/2021;9868;4855;28041;5383;16787;800;209;42764;1009;65943
05/07/2021;25772;35285;87196;44621;173535;10939;2795;148253;13734;380143
06/07/2021;38398;120657;215148;60783;157712;11302;2918;374203;14220;606918
07/07/2021;49264;208139;372323;71324;176899;13096;3134;629726;16230;894179
08/07/2021;50015;216967;188469;59260;165291;10341;2874;455451;13215;693217
09/07/2021;32970;163443;158264;59331;169264;8697;2324;354677;11021;594293
10/07/2021;16678;83586;98797;31516;104108;4598;1033;199061;5631;340316
11/07/2021;5773;14950;17554;5441;20865;678;159;38277;837;65420
12/07/2021;36434;115313;104461;57811;326611;12318;2965;256208;15283;655913
13/07/2021;31642;117712;107980;65870;334996;12137;3022;257334;15159;673359
14/07/2021;37752;88432;101453;69448;468970;12535;2995;227637;15530;781585
15/07/2021;35909;77707;77815;75534;361235;12103;2661;191431;14764;642964
16/07/2021;32694;61681;93192;127974;324437;9411;2389;187567;11800;651778
17/07/2021;12565;48691;42854;68874;162949;4763;974;104110;5737;341670
18/07/2021;2497;6865;7378;4620;16088;488;106;16740;594;38042
19/07/2021;33870;54160;92516;127737;338543;11102;2223;180546;13325;660151
20/07/2021;35872;57712;105239;105758;342419;11053;2513;198823;13566;660566
21/07/2021;42247;58317;178493;137726;324950;9492;2336;279057;11828;753561
22/07/2021;36473;57817;170651;111442;363349;10220;2416;264941;12636;752368
23/07/2021;35813;58131;144686;111634;280973;8185;1918;238630;10103;641340
24/07/2021;15673;30218;75184;56357;102248;2672;582;121075;3254;282934
25/07/2021;2172;4465;9708;4037;36057;476;122;16345;598;57037
26/07/2021;37241;73206;134675;130921;310589;8204;1872;245122;10076;696708
27/07/2021;51275;76600;154304;155570;393159;9436;2344;282179;11780;842688
28/07/2021;53377;72984;134512;161658;375851;8153;1996;260873;10149;808531
29/07/2021;42834;63452;121398;156800;448766;7427;1827;227684;9254;842504
30/07/2021;44647;69173;127319;160317;274212;6295;1647;241139;7942;683610
31/07/2021;18436;27345;47221;75517;121485;1934;498;93002;2432;292436
01/08/2021;6566;7681;11929;18793;7055;260;63;26176;323;52347
02/08/2021;52136;71532;119772;188024;193898;5024;1313;243440;6337;631699
03/08/2021;49636;87320;126107;208382;191575;5881;1500;263063;7381;670401
04/08/2021;47141;80321;116363;308960;190239;5865;1457;243825;7322;750346
05/08/2021;48103;76632;123491;263805;182522;5554;1454;248226;7008;701561
06/08/2021;51732;91297;126683;329814;161260;5374;1399;269712;6773;767559
07/08/2021;22882;43259;60757;136216;48723;1743;483;126898;2226;314063
08/08/2021;22005;24452;22710;23303;3325;172;43;69167;215;96010
09/08/2021;59475;121245;144032;321163;121140;4914;1291;324752;6205;773260
10/08/2021;62489;140887;175502;316570;101601;5117;1416;378878;6533;803582
11/08/2021;67561;156482;176557;288141;81902;4779;1319;400600;6098;776741
12/08/2021;69234;155404;206385;299939;70227;4176;1302;431023;5478;806667
13/08/2021;78099;220199;197316;252698;57172;3613;1080;495614;4693;810177
14/08/2021;33948;142635;99218;123327;19802;1163;369;275801;1532;420462
15/08/2021;5979;31442;20909;24930;4219;244;69;58330;313;87792
16/08/2021;67570;343309;200089;266729;52511;3620;981;610968;4601;934809
17/08/2021;80281;376130;211283;287176;52653;3913;1238;667694;5151;1012674
18/08/2021;90029;397161;219710;277736;48029;3968;1259;706900;5227;1037892
19/08/2021;116441;331561;215063;299357;46553;3746;1223;663065;4969;1013944
20/08/2021;142561;326337;268352;267212;42967;3532;1166;737250;4698;1052127
21/08/2021;57458;109353;94532;92811;12629;926;347;261343;1273;368056
22/08/2021;9000;15606;15587;19004;2463;234;91;40193;325;61985
23/08/2021;137879;279933;242382;290964;43312;3114;1026;660194;4140;998610
24/08/2021;143023;265382;240205;287410;39634;3288;1124;648610;4412;980066
25/08/2021;159349;326936;250099;281031;38010;3438;1135;736384;4573;1059998
26/08/2021;145995;264282;220472;265403;32033;2922;1044;630749;3966;932151
27/08/2021;234045;292000;220735;285558;31515;3013;1007;746780;4020;1067873
28/08/2021;90176;146290;149134;149275;14451;1311;436;385600;1747;551073
29/08/2021;12686;17094;27335;23161;2459;266;115;57115;381;83116
30/08/2021;250592;296143;238912;375100;37591;3046;1060;785647;4106;1202444
31/08/2021;268302;308068;261819;363235;33754;2939;1017;838189;3956;1239134
01/09/2021;307266;331695;265072;378063;32197;2854;1038;904033;3892;1318185
02/09/2021;371000;298874;292056;434989;32742;3087;1202;961930;4289;1433950
03/09/2021;328862;312361;267675;439127;30018;2725;1331;908898;4056;1382099
04/09/2021;104740;110071;121731;207505;11559;927;405;336542;1332;556938
05/09/2021;12540;19293;13378;43443;1738;149;41;45211;190;90582
06/09/2021;117348;118329;112140;232969;13871;1133;517;347817;1650;596307
07/09/2021;41456;22676;22305;71257;4101;237;232;86437;469;162264
08/09/2021;444290;315267;309929;750053;40345;3247;1475;1069486;4722;1864606
09/09/2021;581785;341648;360327;880136;42189;3693;1728;1283760;5421;2211506
10/09/2021;337944;241957;297788;633223;29636;2945;1597;877689;4542;1545090
11/09/2021;134816;86463;131950;260015;9301;947;521;353229;1468;624013
12/09/2021;25993;11962;19257;35195;1323;168;77;57212;245;93975
13/09/2021;308087;211657;314738;600745;25950;2684;1737;834482;4421;1465598
14/09/2021;321424;219578;361087;555226;25933;2803;1801;902089;4604;1487852
15/09/2021;265703;223237;340168;414102;21676;2837;2899;829108;5736;1270622
16/09/2021;225869;213233;358000;375925;20063;2678;3272;797102;5950;1199040
17/09/2021;205478;185493;374402;327315;17093;2378;2606;765373;4984;1114765
18/09/2021;92723;74060;187527;138120;6217;871;781;354310;1652;500299
19/09/2021;11479;10332;32124;17750;891;167;88;53935;255;72831
20/09/2021;212489;171927;379681;306627;16376;2316;1585;764097;3901;1091001
21/09/2021;241075;191526;479916;302472;17500;2546;1759;912517;4305;1236794
22/09/2021;228448;189817;507010;252461;15523;2264;1193;925275;3457;1196716
23/09/2021;228307;255705;627013;273923;17536;3062;3852;1111025;6914;1409398
24/09/2021;215783;229788;466588;216448;14090;2958;4547;912159;7505;1150202
25/09/2021;110927;147278;278894;110506;7249;1156;592;537099;1748;656602
26/09/2021;14501;26822;29200;9608;765;146;68;70523;214;81110
27/09/2021;204972;257032;494844;191849;13963;3386;5147;956848;8533;1171193
28/09/2021;206379;290184;488536;202578;14222;7237;2015;985099;9252;1211151
29/09/2021;202237;294555;429488;174103;12702;6744;1664;926280;8408;1121493
30/09/2021;197921;325543;413363;154316;12461;6549;1613;936827;8162;1111766
01/10/2021;179232;290315;343199;121950;9731;2391;1170;812746;3561;947988
02/10/2021;118211;173784;212250;60043;5299;1132;556;504245;1688;571275
03/10/2021;15156;15621;20037;5154;522;81;42;50814;123;56613
04/10/2021;184430;319128;310583;105660;9640;2318;1026;814141;3344;932785
05/10/2021;184538;351109;325351;115582;10086;2841;1222;860998;4063;990729
06/10/2021;223470;336759;326435;110730;10245;2950;1247;886664;4197;1011836
07/10/2021;262186;336398;271930;106124;10240;2923;1123;870514;4046;990924
08/10/2021;263154;325402;254092;92124;9153;2917;1027;842648;3944;947869
09/10/2021;102846;135517;88953;27361;2900;954;282;327316;1236;358813
10/10/2021;18040;18371;17691;4042;451;183;50;54102;233;58828
11/10/2021;99165;135016;103922;28210;3197;973;306;338103;1279;370789
12/10/2021;21695;23034;19180;4994;654;271;77;63909;348;69905
13/10/2021;304203;393918;305901;97909;11649;4188;1266;1004022;5454;1119034
14/10/2021;345315;478651;290835;95072;11188;3936;1170;1114801;5106;1226167
15/10/2021;299661;414383;240213;72904;8914;3349;993;954257;4342;1040417
16/10/2021;171206;196637;93081;29617;4142;1563;412;460924;1975;496658
17/10/2021;21758;23220;10948;3375;596;163;46;55926;209;60106
18/10/2021;286388;370434;204012;63490;8591;3217;910;860834;4127;937042
19/10/2021;347923;367539;196959;61830;8746;3604;877;912421;4481;987478
20/10/2021;327594;346251;190098;58687;8259;3387;977;863943;4364;935253
21/10/2021;319119;341821;166405;54968;8514;3609;989;827345;4598;895425
22/10/2021;278743;310127;136685;45557;7745;3813;919;725555;4732;783589
23/10/2021;122408;121076;47571;16197;2748;1317;323;291055;1640;311640
24/10/2021;14593;17903;7093;2198;431;134;49;39589;183;42401
25/10/2021;281258;298928;132399;42540;7777;3455;855;712585;4310;767212
26/10/2021;316974;340964;150361;48516;8740;4104;984;808299;5088;870643
27/10/2021;319951;331902;127424;42256;8107;3455;927;779277;4382;834022
28/10/2021;313308;259668;101844;35414;7410;3244;908;674820;4152;721796
29/10/2021;248999;206375;76484;26856;6075;2731;711;531858;3442;568231
30/10/2021;110140;68123;26517;9785;1916;648;227;204780;875;217356
31/10/2021;14606;11964;5754;2149;356;110;37;32324;147;34976
01/11/2021;61645;47820;16547;6203;1071;343;142;126012;485;133771
02/11/2021;18312;14435;6906;2286;385;131;74;39653;205;42529
03/11/2021;385618;267671;97994;36658;8883;3459;828;751283;4287;801111
04/11/2021;385581;270662;99403;36323;7918;2784;898;755646;3682;803569
05/11/2021;404106;237413;87288;32382;7542;2620;851;728807;3471;772202
06/11/2021;135554;68036;27076;10091;2149;758;238;230666;996;243902
07/11/2021;18672;10761;4081;1487;265;82;36;33514;118;35384
08/11/2021;338004;196533;74765;28549;7125;2478;787;609302;3265;648241
09/11/2021;332674;202695;81380;30510;6864;2299;663;616749;2962;657085
10/11/2021;316610;188636;72851;28176;6650;2372;766;578097;3138;616061
11/11/2021;335523;196971;71921;28290;7095;2260;816;604415;3076;642876
12/11/2021;285484;155505;59311;24926;5761;1886;641;500300;2527;533514
13/11/2021;86772;44814;18943;7773;1720;466;187;150529;653;160675
14/11/2021;9044;8423;2728;1145;237;64;28;20195;92;21669
15/11/2021;18302;10597;4351;1758;419;117;51;33250;168;35595
16/11/2021;275490;142279;55801;23450;6766;2102;749;473570;2851;506637
17/11/2021;280915;144603;58541;24356;6966;2167;812;484059;2979;518360
18/11/2021;234360;124696;49318;20278;6240;1939;737;408374;2676;437568
19/11/2021;200393;106932;43199;18192;6093;1732;747;350524;2479;377288
20/11/2021;101426;52103;21816;9310;2272;675;255;175345;930;187857
21/11/2021;10085;5612;2462;990;229;114;41;18159;155;19533
22/11/2021;169168;91151;39743;16811;7107;1751;859;300062;2610;326590
23/11/2021;186960;96153;42710;18049;6255;1744;779;325823;2523;352650
24/11/2021;85267;45530;20891;9623;3878;1140;627;151688;1767;166956
25/11/2021;157837;84520;38052;16663;5717;1657;940;280409;2597;305386
26/11/2021;144840;77041;37125;16274;5262;1534;813;259006;2347;282889
27/11/2021;38997;22766;11038;4627;1120;314;126;72801;440;78988
28/11/2021;4055;2448;1220;536;140;81;24;7723;105;8504
29/11/2021;106746;63261;30730;13376;3722;1132;526;200737;1658;219493
30/11/2021;112859;66469;32088;13731;3511;1057;490;211416;1547;230205
01/12/2021;94712;54852;26480;11072;3199;892;348;176044;1240;191555
02/12/2021;55133;30176;15496;6933;2337;732;361;100805;1093;111168
03/12/2021;50656;30071;14814;6914;2443;777;401;95541;1178;106076
04/12/2021;31278;18493;9575;3918;1076;305;126;59346;431;64771
05/12/2021;5712;3899;2065;803;175;46;18;11676;64;12718
06/12/2021;78078;48496;24701;10721;3576;1099;457;151275;1556;167128
07/12/2021;78980;48647;24782;10726;3583;947;436;152409;1383;168101
08/12/2021;49395;30080;15083;6649;2199;595;267;94558;862;104268
09/12/2021;28993;19720;10799;4425;1570;515;241;59512;756;66263
10/12/2021;43837;28399;19604;7584;2101;609;274;91840;883;102408
11/12/2021;16180;14361;12646;3122;586;170;55;43187;225;47120
12/12/2021;2942;2451;1899;509;109;19;7;7292;26;7936
13/12/2021;40322;31849;24561;8351;2171;548;216;96732;764;108018
14/12/2021;46048;41712;38007;10738;2731;653;243;125767;896;140132
15/12/2021;42708;36321;30651;9912;2209;544;269;109680;813;122614
16/12/2021;39533;33506;52618;16489;2150;558;238;125657;796;145092
17/12/2021;41334;40083;46774;12570;2479;565;252;128191;817;144057
18/12/2021;9676;10544;14087;4052;477;125;34;34307;159;38995
19/12/2021;2023;2296;3100;788;120;24;3;7419;27;8354
20/12/2021;31781;30001;34957;11001;2258;530;180;96739;710;110708
21/12/2021;29514;29445;33470;11759;1824;482;192;92429;674;106686
22/12/2021;26454;26391;27924;9161;1689;400;175;80769;575;92194
23/12/2021;19375;18043;18586;6092;1376;338;132;56004;470;63942
24/12/2021;1138;987;915;342;66;21;8;3040;29;3477
25/12/2021;132;146;106;40;7;1;1;384;2;433
26/12/2021;408;388;374;82;20;2;6;1170;8;1280
27/12/2021;22018;21315;22625;7080;1613;343;125;65958;468;75119
28/12/2021;29329;28308;29498;9738;2229;450;187;87135;637;99739
29/12/2021;23363;20385;20083;6850;1378;326;142;63831;468;72527
30/12/2021;15701;13170;13846;4764;910;243;88;42717;331;48722
31/12/2021;1098;965;931;381;70;19;6;2994;25;3470
